URL	Device	INP	CLS	LCP	Date
advocatechannel.com	desktop	91.93	93.38	81.10000000000001	2025-02-08
advocatechannel.com	mobile	81.16	83.60000000000001	89.32	2025-02-08
austin.culturemap.com	desktop	97.66	91.96	86.22999999999999	2025-02-08
austin.culturemap.com	mobile	93.4006599340066	99.20000000000002	86.15	2025-02-08
bestlifeonline.com	desktop	83.59	82.54	92.4	2025-02-08
bestlifeonline.com	mobile	79.47999999999999	89.68	90.72907290729071	2025-02-08
bestlocalthings.com	desktop	89.36106389361065	85.3914608539146	91.62	2025-02-08
bestlocalthings.com	mobile	91.5991599159916	85.92	90.03999999999999	2025-02-08
ca.billboard.com	desktop	92.88	94.92050794920507	91.35	2025-02-08
ca.billboard.com	mobile	90.95	93.16931693169316	89.07000000000001	2025-02-08
conversations.indy100.com	desktop	94.15	89.87	93.75937593759376	2025-02-08
conversations.indy100.com	mobile	91.76	96.67	96.46964696469648	2025-02-08
coveteur.com	desktop	92.35923592359237	87.96000000000001	91.08	2025-02-08
coveteur.com	mobile	87.97	82.66	83.48	2025-02-08
dallas.culturemap.com	desktop	97.43025697430257	93.61	85.46000000000001	2025-02-08
dallas.culturemap.com	mobile	91.97	99.32993299329932	87.57000000000001	2025-02-08
divine.health	desktop				2025-02-08
divine.health	mobile				2025-02-08
dot.la	desktop	96.72032796720327	86.9	90.31	2025-02-08
dot.la	mobile	89.64	67.93	90.27	2025-02-08
energycapitalhtx.com	desktop	96.93	80.55	41.95	2025-02-08
energycapitalhtx.com	mobile	95.03	86.07139286071393	90.09	2025-02-08
fortworth.culturemap.com	desktop	97.58	93.53	83.26	2025-02-08
fortworth.culturemap.com	mobile	90.96	98.56	83.88	2025-02-08
gaingels.com	desktop	97.11971197119712	93.41	94.43	2025-02-08
gaingels.com	mobile	92.45	96.25962596259625	93.41934193419344	2025-02-08
guides.brit.co	desktop	87.03	96.38	93.52	2025-02-08
guides.brit.co	mobile	87.81878187818782	94.33	91.56000000000002	2025-02-08
hamuesgyemant.hu	desktop	91.58	96.15	94.35	2025-02-08
hamuesgyemant.hu	mobile	84.11999999999999	81.1081108110811	92.39	2025-02-08
heatmap.news	desktop	97.38	88.42999999999999	95.26952695269529	2025-02-08
heatmap.news	mobile	94.61	95.81000000000002	96.4	2025-02-08
houston.culturemap.com	desktop	97.1897189718972	89.64999999999999	82.61	2025-02-08
houston.culturemap.com	mobile	92.02	96.32	84.63153684631536	2025-02-08
houston.innovationmap.com	desktop	97.46	96.88	80.93	2025-02-08
houston.innovationmap.com	mobile	98.1	84.81	91.010898910109	2025-02-08
houston.sportsmap.com	desktop	95.88	87.77000000000001	91.45085491450854	2025-02-08
houston.sportsmap.com	mobile	95.92	95.57	93.1	2025-02-08
in.hu	desktop	88.85	96.25	92.99	2025-02-08
in.hu	mobile	86.97	85.37	90.83	2025-02-08
investingnews.com	desktop	95.14	86.39	82.72	2025-02-08
investingnews.com	mobile	89.63	90.07	90.82	2025-02-08
jjkellercompliancenetwork.com	desktop	96.87968796879689	81.97819781978198	78.43	2025-02-08
