URL	Device	INP	CLS	LCP	Date
advocatechannel.com	desktop	92.32	92.1	77.05	2025-02-14
advocatechannel.com	mobile	77.1022897710229	83.44	88.75112488751124	2025-02-14
austin.culturemap.com	desktop	97.33	92.29	86.46000000000001	2025-02-14
austin.culturemap.com	mobile	93.0	99.15	85.81000000000002	2025-02-14
bestlifeonline.com	desktop	83.43	80.25999999999999	91.89	2025-02-14
bestlifeonline.com	mobile	79.65796579657966	90.47	90.70092990700932	2025-02-14
bestlocalthings.com	desktop	88.41884188418841	85.00999999999999	91.5008499150085	2025-02-14
bestlocalthings.com	mobile	91.41	85.2	90.4	2025-02-14
ca.billboard.com	desktop	93.09	94.41	91.67000000000002	2025-02-14
ca.billboard.com	mobile	91.46085391460852	91.98	89.86101389861014	2025-02-14
conversations.indy100.com	desktop	95.02	89.67	93.25932593259326	2025-02-14
conversations.indy100.com	mobile	95.15	96.2	94.50945094509451	2025-02-14
coveteur.com	desktop	92.33923392339234	88.1988198819882	91.14	2025-02-14
coveteur.com	mobile	88.05000000000001	82.24000000000001	83.1	2025-02-14
dallas.culturemap.com	desktop	97.35026497350265	93.0	85.47	2025-02-14
dallas.culturemap.com	mobile	92.23	99.16	87.05000000000001	2025-02-14
divine.health	desktop				2025-02-14
divine.health	mobile				2025-02-14
dot.la	desktop	96.42	86.38	90.0	2025-02-14
dot.la	mobile	89.45	80.38196180381962	89.5	2025-02-14
energycapitalhtx.com	desktop	96.96	79.93200679932006	43.53	2025-02-14
energycapitalhtx.com	mobile	95.39	80.46	87.83	2025-02-14
fortworth.culturemap.com	desktop	98.07	92.78000000000002	84.2	2025-02-14
fortworth.culturemap.com	mobile	91.34000000000002	98.50985098509852	84.20842084208421	2025-02-14
gaingels.com	desktop	97.23	94.11058894110587	94.57	2025-02-14
gaingels.com	mobile	93.79	96.54	94.68	2025-02-14
guides.brit.co	desktop	85.89	96.59	93.87061293870612	2025-02-14
guides.brit.co	mobile	88.2011798820118	94.24057594240575	91.2	2025-02-14
hamuesgyemant.hu	desktop	92.3	95.3	93.9	2025-02-14
hamuesgyemant.hu	mobile	84.23	81.72	92.41	2025-02-14
heatmap.news	desktop	97.33	88.72	94.97	2025-02-14
heatmap.news	mobile	95.06	96.55	96.5	2025-02-14
houston.culturemap.com	desktop	96.96	89.56000000000002	82.99170082991701	2025-02-14
houston.culturemap.com	mobile	92.48	95.85041495850416	84.34843484348436	2025-02-14
houston.innovationmap.com	desktop	97.4997499749975	96.76	81.22812281228123	2025-02-14
houston.innovationmap.com	mobile	96.83031696830318	80.57	89.68	2025-02-14
houston.sportsmap.com	desktop	95.82	87.21	91.83	2025-02-14
houston.sportsmap.com	mobile	96.05039496050397	93.14	92.91	2025-02-14
in.hu	desktop	88.28	93.55	92.979297929793	2025-02-14
in.hu	mobile	86.46135386461354	84.06	89.07000000000001	2025-02-14
investingnews.com	desktop	95.22	86.98	82.52000000000001	2025-02-14
investingnews.com	mobile	89.21	91.24	90.86	2025-02-14
jjkellercompliancenetwork.com	desktop	97.04	82.42824282428244	79.28	2025-02-14
jjkellercompliancenetwork.com	mobile	89.89	91.06000000000002	88.73	2025-02-14
lakevillejournal.com	desktop	97.48	97.48	93.29	2025-02-14
lakevillejournal.com	mobile	94.95949594959497	97.45	97.15971597159717	2025-02-14
leaps.org	desktop	94.25201273169816	96.1340206185567	88.94637817497647	2025-02-14
leaps.org	mobile	85.81240609572869	98.37781266352695	92.78754132590916	2025-02-14
luzmedia.co	desktop	89.33	75.74	80.88	2025-02-14
luzmedia.co	mobile	91.55	82.99	82.51825182518252	2025-02-14
millertonnews.com	desktop	98.2	98.61	94.41	2025-02-14
millertonnews.com	mobile	93.99	97.46025397460254	97.15	2025-02-14
nofilmschool.com	desktop	89.23	63.58364163583642	93.88	2025-02-14
nofilmschool.com	mobile	83.93	70.64293570642937	92.17	2025-02-14
outvoices.us	desktop	94.54	93.36066393360665	90.39	2025-02-14
outvoices.us	mobile	87.8	95.46	90.29	2025-02-14
qc.rollingstone.com	desktop	92.25	81.85	83.75162483751626	2025-02-14
qc.rollingstone.com	mobile	95.51044895510452	88.39	91.98	2025-02-14
reliabilityweb.com	desktop	94.59	90.14901490149016	80.9	2025-02-14
reliabilityweb.com	mobile	90.01900190019002	89.25999999999999	76.21	2025-02-14
responsiblestatecraft.org	desktop	97.61	95.43045695430456	94.1005899410059	2025-02-14
responsiblestatecraft.org	mobile	93.63	98.24	91.82	2025-02-14
rm.powertofly.com	desktop				2025-02-14
rm.powertofly.com	mobile				2025-02-14
sanantonio.culturemap.com	desktop	96.48	88.22	79.22	2025-02-14
sanantonio.culturemap.com	mobile	92.39	99.01	79.13	2025-02-14
secondnexus.com	desktop				2025-02-14
secondnexus.com	mobile				2025-02-14
spectrum.ieee.org	desktop	95.34	79.14	88.31	2025-02-14
spectrum.ieee.org	mobile	86.6	82.93	83.04	2025-02-14
storeys.com	desktop	95.45954595459546	73.5	94.18	2025-02-14
storeys.com	mobile	93.63	94.83	95.68	2025-02-14
thefulcrum.us	desktop	92.2092209220922	97.42025797420256	94.48	2025-02-14
thefulcrum.us	mobile	87.86121387861215	94.49	93.94	2025-02-14
upworthyscience.com	desktop	85.79	87.67	94.69	2025-02-14
upworthyscience.com	mobile	72.23	94.82	91.3	2025-02-14
vault12.com	desktop	94.8	89.61	84.39999999999999	2025-02-14
vault12.com	mobile	78.17	96.17	90.97	2025-02-14
worldcrunch.com	desktop	91.38	89.32	82.78	2025-02-14
worldcrunch.com	mobile	90.3	93.15	90.05900590059007	2025-02-14
www.7x7.com	desktop	96.54	92.27	94.96	2025-02-14
www.7x7.com	mobile	94.03	96.01	94.8	2025-02-14
www.advocate.com	desktop	93.72	77.7	91.56	2025-02-14
www.advocate.com	mobile	93.14	80.63	90.41	2025-02-14
www.allbusiness.com	desktop	92.25	81.05189481051895	85.47	2025-02-14
www.allbusiness.com	mobile	86.30863086308631	94.22	89.78	2025-02-14
www.alternet.org	desktop	92.42	75.56	89.28107189281073	2025-02-14
www.alternet.org	mobile	90.03999999999999	86.25137486251376	93.26	2025-02-14
www.brit.co	desktop	88.59	84.94	72.95	2025-02-14
www.brit.co	mobile	87.71	79.96000000000001	90.55	2025-02-14
www.comicsands.com	desktop	81.10188981101889	94.41	95.74957495749577	2025-02-14
www.comicsands.com	mobile	80.36	75.73000000000002	95.52955295529554	2025-02-14
www.commondreams.org	desktop	97.47	96.97	92.76	2025-02-14
www.commondreams.org	mobile	96.59	97.6002399760024	91.18	2025-02-14
www.conservativereview.com	desktop	96.29	97.1997199719972	89.4	2025-02-14
www.conservativereview.com	mobile	88.48	76.36000000000001	80.8119188081192	2025-02-14
www.dailyclimate.org	desktop	98.11981198119813	98.75	93.38	2025-02-14
www.dailyclimate.org	mobile	93.8093809380938	91.64	91.88	2025-02-14
www.ehn.org	desktop	96.62	82.46175382461753	90.3	2025-02-14
www.ehn.org	mobile	95.42	96.8103189681032	93.44	2025-02-14
www.gbnews.com	desktop	76.57000000000001	80.09	85.71	2025-02-14
www.gbnews.com	mobile	61.12	72.14	73.18	2025-02-14
www.georgetakei.com	desktop				2025-02-14
www.georgetakei.com	mobile				2025-02-14
www.glennbeck.com	desktop	90.9	86.15861586158616	88.98110188981103	2025-02-14
www.glennbeck.com	mobile	93.16	96.39	89.62896289628964	2025-02-14
www.goalcast.com	desktop	87.98	91.41	91.28000000000002	2025-02-14
www.goalcast.com	mobile	78.98789878987898	82.21000000000001	86.77	2025-02-14
www.gopenske.com	desktop	94.009400940094	91.65	86.34	2025-02-14
www.gopenske.com	mobile	92.92	88.25	89.85101489851014	2025-02-14
www.gzeromedia.com	desktop	93.3	89.58	92.07	2025-02-14
www.gzeromedia.com	mobile	84.28157184281571	93.86	83.54	2025-02-14
www.healthywomen.org	desktop	92.62	90.02	90.38	2025-02-14
www.healthywomen.org	mobile	84.89999999999999	83.46000000000001	89.41	2025-02-14
www.hivplusmag.com	desktop	92.52	82.15	87.39126087391261	2025-02-14
www.hivplusmag.com	mobile	82.45824582458245	80.55805580558055	86.78	2025-02-14
www.houstoncitybook.com	desktop	97.71	93.17	94.71	2025-02-14
www.houstoncitybook.com	mobile	94.27	98.82011798820118	93.74	2025-02-14
www.indy100.com	desktop	89.53999999999999	79.17	94.37	2025-02-14
www.indy100.com	mobile	79.65203479652034	78.83	90.84	2025-02-14
www.laverita.info	desktop	89.58	81.02000000000001	83.17999999999999	2025-02-14
www.laverita.info	mobile	68.79312068793121	95.66	90.69	2025-02-14
www.louderwithcrowder.com	desktop	96.28962896289627	89.14999999999999	92.07920792079209	2025-02-14
www.louderwithcrowder.com	mobile	95.93959395939596	90.56	90.36	2025-02-14
www.lovemeow.com	desktop	88.84	90.96090390960904	92.71072892710728	2025-02-14
www.lovemeow.com	mobile	81.91819181918193	81.60000000000001	92.75072492750724	2025-02-14
www.mtlblog.com	desktop	96.03	75.44000000000001	92.13	2025-02-14
www.mtlblog.com	mobile	80.84808480848085	81.08	93.82	2025-02-14
www.myrecipemagic.com	desktop	93.79	97.35	84.89999999999999	2025-02-14
www.myrecipemagic.com	mobile	90.40904090409042	99.22	90.52	2025-02-14
www.narcity.com	desktop	95.56955695569556	74.20257974202579	91.52084791520848	2025-02-14
www.narcity.com	mobile	82.3	85.23	94.65	2025-02-14
www.nationalmemo.com	desktop	86.49135086491351	85.80858085808582	88.26	2025-02-14
www.nationalmemo.com	mobile	92.36923692369238	61.03	93.65	2025-02-14
www.newsworthy.org.au	desktop				2025-02-14
www.newsworthy.org.au	mobile				2025-02-14
www.okayafrica.com	desktop	93.24932493249324	91.1108889111089	90.96909690969098	2025-02-14
www.okayafrica.com	mobile	70.86	90.21	79.88	2025-02-14
www.okayplayer.com	desktop	92.05	93.58	83.29	2025-02-14
www.okayplayer.com	mobile	85.95859585958596	89.33893389338935	82.64173582641736	2025-02-14
www.out.com	desktop	91.31913191319131	83.56	90.57094290570944	2025-02-14
www.out.com	mobile	76.73	77.37226277372264	89.21	2025-02-14
www.outtraveler.com	desktop	93.71	80.42	89.92999999999999	2025-02-14
www.outtraveler.com	mobile	86.95	77.18228177182282	87.11	2025-02-14
www.panorama.it	desktop	90.46	78.21782178217822	88.7988798879888	2025-02-14
www.panorama.it	mobile	77.65223477652235	89.88000000000001	93.94060593940608	2025-02-14
www.papermag.com	desktop	95.01	82.39	92.71927192719272	2025-02-14
