URL	Device	INP	CLS	LCP	Date	all_green	date
advocatechannel.com	desktop	93.91	90.87	87.79	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
advocatechannel.com	mobile	89.33893389338934	82.82000000000001	94.4105589441056	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
austin.culturemap.com	desktop	97.17	91.33	85.32146785321468	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
austin.culturemap.com	mobile	92.1	98.81	83.77837783778378	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
bestlifeonline.com	desktop	84.93	85.89	93.43	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
bestlifeonline.com	mobile	81.4	89.23107689231077	92.73	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
bestlocalthings.com	desktop	89.91	85.34	93.27	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
bestlocalthings.com	mobile	91.88	86.88	88.87888788878887	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
ca.billboard.com	desktop	95.55	95.91	90.99	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
ca.billboard.com	mobile	92.36	92.09	91.21	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
conversations.indy100.com	desktop	91.55915591559156	86.3	96.39	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
conversations.indy100.com	mobile	91.59	95.37953795379538	96.81	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
coveteur.com	desktop	92.76927692769276	88.46000000000001	91.67000000000002	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
coveteur.com	mobile	89.29	82.96	83.47	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
dallas.culturemap.com	desktop	96.84968496849685	92.18	86.08	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
dallas.culturemap.com	mobile	92.62	99.29	87.26	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
divine.health	desktop				Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	False	2025-01-22
divine.health	mobile				Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	False	2025-01-22
dot.la	desktop	97.21	86.88	95.2	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
dot.la	mobile	90.09	69.91000000000001	90.31	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	False	2025-01-22
energycapitalhtx.com	desktop	98.12	77.8077807780778	39.290000000000006	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	False	2025-01-22
energycapitalhtx.com	mobile	93.38	86.34863486348634	91.65	Tue Jan 21 2025 11:40:15 GMT-0300 (Paraguay Summer Time)	True	2025-01-22
